sample_id,repo,commit_sha,method_uri,jsonl_file,jsonl_line_number,method_identity,doc_refs,call_context,inheritdoc,notes
S054,jhy/jsoup,a57f14febb20f7887227598193781a290585a39d,src/main/java/org/jsoup/nodes/Node.java#org.jsoup.nodes.Node.hashCode():int,jsonl/jhy__jsoup/method_contexts.jsonl.gz,970,,,,,
S055,jhy/jsoup,a57f14febb20f7887227598193781a290585a39d,src/main/java/org/jsoup/nodes/XmlDeclaration.java#org.jsoup.nodes.XmlDeclaration.nodeName():java.lang.String,jsonl/jhy__jsoup/method_contexts.jsonl.gz,1129,,,,,
S056,jhy/jsoup,a57f14febb20f7887227598193781a290585a39d,src/main/java/org/jsoup/parser/Tag.java#org.jsoup.parser.Tag.clear(int):org.jsoup.parser.Tag,jsonl/jhy__jsoup/method_contexts.jsonl.gz,1416,,,,,
S057,jhy/jsoup,a57f14febb20f7887227598193781a290585a39d,src/main/java/org/jsoup/parser/Token.java#org.jsoup.parser.Token.isCData():boolean,jsonl/jhy__jsoup/method_contexts.jsonl.gz,1538,,,,,
S058,jhy/jsoup,a57f14febb20f7887227598193781a290585a39d,src/main/java/org/jsoup/parser/Token.java#org.jsoup.parser.Token.isEndTag():boolean,jsonl/jhy__jsoup/method_contexts.jsonl.gz,1543,,,,,
S059,jhy/jsoup,a57f14febb20f7887227598193781a290585a39d,"src/main/java/org/jsoup/parser/TokenQueue.java#org.jsoup.parser.TokenQueue.chompBalanced(char,char):java.lang.String",jsonl/jhy__jsoup/method_contexts.jsonl.gz,1563,,,,,
S060,jhy/jsoup,a57f14febb20f7887227598193781a290585a39d,"src/main/java/org/jsoup/parser/TokeniserState.java#org.jsoup.parser.TokeniserState$8.read(org.jsoup.parser.Tokeniser,org.jsoup.parser.CharacterReader):void",jsonl/jhy__jsoup/method_contexts.jsonl.gz,1688,,,,,
S061,jhy/jsoup,a57f14febb20f7887227598193781a290585a39d,src/main/java/org/jsoup/select/Elements.java#org.jsoup.select.Elements.filter(org.jsoup.select.NodeFilter):org.jsoup.select.Elements,jsonl/jhy__jsoup/method_contexts.jsonl.gz,1846,,,,,
S062,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,src/main/java/redis/clients/jedis/CommandArguments.java#redis.clients.jedis.CommandArguments.key(java.lang.Object):redis.clients.jedis.CommandArguments,jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,326,,,,,
S063,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,"src/main/java/redis/clients/jedis/CommandObjects.java#redis.clients.jedis.CommandObjects.copy(byte[],byte[],boolean):redis.clients.jedis.CommandObject",jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,507,,,,,
S064,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,"src/main/java/redis/clients/jedis/CommandObjects.java#redis.clients.jedis.CommandObjects.georadiusByMemberReadonly(java.lang.String,java.lang.String,double,redis.clients.jedis.args.GeoUnit):redis.clients.jedis.CommandObject",jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,661,,,,,
S065,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,src/main/java/redis/clients/jedis/CommandObjects.java#redis.clients.jedis.CommandObjects.hlen(java.lang.String):redis.clients.jedis.CommandObject,jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,740,,,,,
S066,redis/jedis,60b6eaa041aac701f5a5c52a410eafc4a9d81c3c,"src/main/java/redis/clients/jedis/CommandObjects.java#redis.clients.jedis.CommandObjects.jsonArrAppend(java.lang.String,redis.clients.jedis.json.Path2,java.lang.Object[]):redis.clients.jedis.CommandObject",jsonl/redis__jedis/method_contexts.jsonl.gz.part-*,808,,,,,
